local_authority_area,2013_por,08-18_increment,region,local_authority_type,cap_ave,cep_ave,htp_ave,hap_ave,map_ave,scp_ave
Coventry,0.544118489,0.042734135,West Midlands,metropolitan_borough,0.052859601,0.292282498,0.046640824,0.158578802,0.146141249,0.049750212
Croydon,0.220816003,0.068890893,London,london_borough,0.131491703,0.075537787,0.078335483,0.218220274,0.058751612,0.081133179
Cumbria,0.256116348,0.024206365,North West,non_metropolitan_county,0.156092522,0.123332363,0.104061682,0.156092522,0.055884977,0.059739114
Darlington,0.152800271,0.009018541,North East,unitary_authority,0.167735202,0.307514537,0.027955867,0.111823468,0.093186223,0.027955867
Derby,0.419057393,0.033210845,East Midlands,unitary_authority,0.318282375,0.188611778,0.027505884,0.094305889,0.051082357,0.062870593
Derbyshire,0.495747112,0.017723022,East Midlands,non_metropolitan_county,0.196798247,0.140391106,0.047632697,0.167967931,0.097772378,0.076463013
Devon,0.188631281,0.016729765,South West,non_metropolitan_county,0.093749036,0.106084436,0.108551516,0.219570111,0.125821075,0.061676998
Doncaster,0.387574403,0.037846975,Yorkshire and the Humber,metropolitan_borough,0.17149606,0.216796907,0.045300846,0.126195214,0.025886198,0.06147972
Dorset,0.285945484,0.028056372,South West,non_metropolitan_county,0.155126946,0.128533755,0.039889786,0.17063964,0.110804961,0.081995671
Dudley,0.520626098,0.054577113,West Midlands,metropolitan_borough,0.161575318,0.201969147,0.071466006,0.161575318,0.164682536,0.046608265
Durham,0.17622827,0.040491341,North East,unitary_authority,0.201326643,0.121168813,0.042875118,0.242337626,0.106255728,0.052195796
Ealing,0.398252501,0.075171877,London,london_borough,0.153700172,0.249762779,0.076850086,0.172912693,0.08325426,0.064041738
East Riding of Yorkshire,0.30124248,0.021835805,Yorkshire and the Humber,unitary_authority,0.25262895,0.110702573,0.014192638,0.224243674,0.05677055,0.105025518
East Sussex,0.302984209,0.022642686,South East,non_metropolitan_county,0.167395212,0.14068321,0.096163207,0.195888014,0.149587211,0.049862404
Enfield,0.246767383,0.067013079,London,london_borough,0.216433361,0.233610612,0.058402653,0.19582066,0.096192605,0.054967203
Essex,0.196460581,0.012008996,East of England,non_metropolitan_county,0.202088062,0.18371642,0.031980266,0.193242456,0.051032339,0.066001825
Gateshead,0.232134302,0.068906136,North East,metropolitan_borough,0.186773182,0.083556424,0.093386591,0.103216758,0.132707261,0.044235754
Gloucestershire,0.195683103,0.025753022,South West,non_metropolitan_county,0.076980157,0.146105197,0.031420472,0.218372283,0.180667716,0.067554016
Greenwich,0.253229163,0.061050758,London,london_borough,0.191517631,0.251366891,0.023939704,0.163587976,0.039899506,0.043889457
Hackney,0.455399494,0.101448482,London,london_borough,0.130034836,0.216724727,0.096322101,0.207092517,0.105954311,0.057793261
Halton,0.353628906,0.023712761,North West,unitary_authority,0.246124857,0.15879023,0.055576581,0.166729742,0.079395115,0.079395115
Hammersmith and Fulham,0.314941984,0.031003834,London,london_borough,0.173070267,0.160708105,0.080354052,0.222518914,0.086535133,0.024724324
Hampshire,0.232129363,0.014588786,South East,non_metropolitan_county,0.135205353,0.182924889,0.08820884,0.192324192,0.146773726,0.064349072
Haringey,0.262480879,0.0659372,London,london_borough,0.16245099,0.127326452,0.057077375,0.153669856,0.2283095,0.06585851
Harrow,0.355006917,0.073482747,London,london_borough,0.18459425,0.154544024,0.017171558,0.266159152,0.072979122,0.124493797
Hartlepool,0.329545809,0.024977176,North East,unitary_authority,0.391160478,0.148006667,0.074003334,0.179722382,0.074003334,0.074003334
Havering,0.29020837,0.045239042,London,london_borough,0.179321686,0.151427201,0.127517643,0.286914697,0.063758822,0.031879411
Herefordshire,0.223286694,0.019183851,West Midlands,unitary_authority,0.021024194,0.268058468,0.068328629,0.220754033,0.03153629,0.021024194
Hertfordshire,0.325905047,0.012571515,East of England,non_metropolitan_county,0.212880676,0.219115675,0.090852841,0.160328543,0.038300707,0.07125713
Hillingdon,0.272415881,0.04554533,London,london_borough,0.184315716,0.224865173,0.066353658,0.228551487,0.033176829,0.033176829
Hounslow,0.226937883,0.047081794,London,london_borough,0.198626443,0.260697206,0.033104407,0.165522036,0.09103712,0.037242458
Isle of Wight,0.264201634,0.046870032,South East,unitary_authority,0.15358886,0.211184682,0.057595822,0.15358886,0.140789788,0.051196287
Isles of Scilly,0.041928721,-0.063338301,South West,unitary_authority,0,0,0,0.854092527,0,0
Islington,0.286143139,0.070798943,London,london_borough,0.18931309,0.250561443,0.072384417,0.150336866,0.105792609,0.011136064
Kensington and Chelsea,0.186705526,0.081653592,London,london_borough,0.207288602,0.263821857,0.062814728,0.125629456,0.119347983,0.037688837
Kent,0.24231851,0.012497738,South East,non_metropolitan_county,0.182777655,0.218938702,0.055227781,0.191324811,0.079554303,0.041420835
Kingston upon Hull,0.228454221,0.031300176,Yorkshire and the Humber,unitary_authority,0.084552606,0.183810014,0.084552606,0.231600618,0.095581207,0.055143004
Kingston upon Thames,0.166015266,0.077030837,London,london_borough,0.194490647,0.237035476,0.079011825,0.127634487,0.170179316,0.036466996
Kirklees,0.397276077,0.045873093,Yorkshire and the Humber,metropolitan_borough,0.043866569,0.313992281,0.117747105,0.159304907,0.07849807,0.048484102
Knowsley,0.385087006,0.051395457,North West,metropolitan_borough,0.113381962,0.220094396,0.086703853,0.213424869,0.14006007,0.026678109
Lambeth,0.311921421,0.076374603,London,london_borough,0.212938589,0.407520404,0.11748336,0.05874168,0.055070325,0.10279794
Lancashire,0.365566438,0.039173569,North West,non_metropolitan_county,0.147979991,0.24005643,0.033706553,0.134004103,0.027129665,0.074812107
Leeds,0.245418041,0.044885641,Yorkshire and the Humber,metropolitan_borough,0.154773058,0.223705596,0.028613507,0.212000071,0.081938678,0.014306753
Leicester,0.326839359,0.027384816,East Midlands,unitary_authority,0.208016448,0.313675596,0.046225877,0.112262845,0.049527726,0.066036967
Leicestershire,0.344516248,0.025631969,East Midlands,non_metropolitan_county,0.176220362,0.040444018,0.096776756,0.200775658,0.037555159,0.111221048
Lewisham,0.202620953,0.067339911,London,london_borough,0.094979829,0.200918869,0.10959211,0.160735095,0.021918422,0.069408337
Lincolnshire,0.285196808,0.010281067,East Midlands,non_metropolitan_county,0.154331505,0.080463434,0.059358271,0.199179976,0.101568597,0.052762908
Liverpool,0.345093678,0.0700904,North West,metropolitan_borough,0.196943978,0.09522566,0.080076123,0.129853172,0.142838489,0.025970634
Luton,0.27178242,0.01834516,East of England,unitary_authority,0.261201964,0.045208032,0.07534672,0.16073967,0.070323606,0.090416065
Manchester,0.394220661,0.036343269,North West,metropolitan_borough,0.319028668,0.147738108,0.11776226,0.229101124,0.059951696,0.066375092
Medway,0.380824215,0.01582424,South East,unitary_authority,0.17954659,0.120919132,0.036642161,0.186875022,0.120919132,0.051299026
Merton,0.174166411,0.067925733,London,london_borough,0.201585452,0.291768417,0.042439043,0.159146409,0.122012247,0.031829282
Middlesbrough,0.169085322,0.024516797,North East,unitary_authority,0.138183493,0.240002909,0.072728154,0.123637862,0.094546601,0.065455339
Milton Keynes,0.352392539,-0.013744534,South East,unitary_authority,0.118670239,0.216880091,0.094117775,0.315089944,0.036828695,0.077749467
Newcastle upon Tyne,0.181228961,0.034239129,North East,metropolitan_borough,0.050544132,0.093867673,0.072205902,0.404353053,0.097477968,0.075816197
Newham,0.277479376,0.0665322,London,london_borough,0.128731483,0.186868281,0.091357826,0.224241938,0.128731483,0.070594684
Norfolk,0.305960834,0.023600732,East of England,non_metropolitan_county,0.153323061,0.150083842,0.105814507,0.120930865,0.093937369,0.044269335
North East Lincolnshire,0.243478475,0.021931067,Yorkshire and the Humber,unitary_authority,0.153288968,0.085841822,0.042920911,0.196209879,0.153288968,0.042920911
North Lincolnshire,0.171614379,0.027972679,Yorkshire and the Humber,unitary_authority,0.199722738,0.217345332,0.099861369,0.199722738,0.046993585,0.06461618
North Somerset,0.378346113,0.010149771,South West,unitary_authority,0.120959675,0.148873447,0.111655085,0.23261476,0.041870657,0.088393609
North Tyneside,0.339941973,0.038776948,North East,metropolitan_borough,0.207088195,0.245616232,0.072240068,0.1059521,0.057792055,0.033712032
North Yorkshire,0.359906507,0.03129844,Yorkshire and the Humber,non_metropolitan_county,0.088892678,0.219892414,0.017154727,0.169987753,0.168428232,0.098249802
Northamptonshire,0.44867346,0.019944048,East Midlands,non_metropolitan_county,0.326297031,0.110160109,0.121315563,0.04741068,0.099004655,0.118526699
Northumberland,0.330347384,0.04260222,North East,unitary_authority,0.196498696,0.196498696,0.063484194,0.120922274,0.078599478,0.069530308
Nottingham,0.718039037,0.008886674,East Midlands,unitary_authority,0.149825869,0.139837478,0.076577666,0.273016028,0.073248203,0.023306246
Nottinghamshire,0.647344519,0.009713548,East Midlands,non_metropolitan_county,0.160088311,0.1505308,0.083628222,0.198318356,0.015530956,0.023893778
Oldham,0.33728785,0.066090429,North West,metropolitan_borough,0.104834225,0.282596607,0.082044176,0.173204372,0.095718206,0.082044176
Oxfordshire,0.158080337,0.031447119,South East,non_metropolitan_county,0.151695424,0.385306377,0.092534209,0.004550863,0.162314104,0.051576444
Peterborough,0.232769748,0.015166662,East of England,unitary_authority,0.097231775,0.286293561,0.059419418,0.118838837,0.102633541,0.037812357
Plymouth,0.296966753,0.013535569,South West,unitary_authority,0.120005884,0.216784823,0.027098103,0.220655981,0.150975145,0.073551994
Poole,0.350093599,0.019827671,South West,unitary_authority,0.105328064,0.13166008,0.09874506,0.250154152,0.039498024,0.03291502
Portsmouth,0.298292793,0.024021723,South East,unitary_authority,0.169852511,0.109904566,0.11989589,0.204822146,0.134882877,0.069939269
Reading,0.100216666,0.010361506,South East,unitary_authority,0.228387927,0.207625388,0.069208463,0.152258618,0.041525078,0.062287617
Redbridge,0.219048981,0.06534121,London,london_borough,0.033500214,0.245668236,0.070722674,0.245668236,0.07444492,0.07444492
Redcar and Cleveland,0.171928156,0.021408774,North East,unitary_authority,0.285183302,0.206757894,0.035647913,0.135462068,0.092684573,0.092684573
Richmond upon Thames,0.147199781,0.076302405,London,london_borough,0.130847236,0.212626758,0.087231491,0.158107077,0.065423618,0.054519682
Rochdale,0.326148405,0.073379632,North West,metropolitan_borough,0.152870867,0.095544292,0.052549361,0.205420228,0.095544292,0.066881004
Rotherham,0.381790582,0.015789143,Yorkshire and the Humber,metropolitan_borough,0.21601901,0.24254766,0.072006337,0.162961709,0.072006337,0.030318457
Rutland,0.25581862,-0.029164186,East Midlands,unitary_authority,0.420837219,0.123775653,0.198041044,0.346571827,0.123775653,0.049510261
Salford,0.655514138,0.035032139,North West,metropolitan_borough,0.172245,0.141329231,0.004416538,0.317990769,0.11483,0.083914231
Sandwell,0.304286135,0.03123724,West Midlands,metropolitan_borough,0.166981166,0.281576084,0.114594918,0.137513901,0.06220867,0.055660389
Sefton,0.269978221,0.044151026,North West,metropolitan_borough,0.251132965,0.213291012,0.082564263,0.103205328,0.048162486,0.058483019
Sheffield,0.247069337,0.043735205,Yorkshire and the Humber,metropolitan_borough,0.227793094,0.229545348,0.035045091,0.145437129,0.047310873,0.068337928
Shropshire,0.376014694,0.025196101,West Midlands,unitary_authority,0.078331845,0.260061725,0.081465119,0.119064404,0.150397142,0.034466012
Slough,0.644424436,0.040108254,South East,unitary_authority,0.123010645,0.123010645,0.131211354,0.22141916,0.123010645,0.180415612
Solihull,0.325603162,0.009363208,West Midlands,metropolitan_borough,0.169041839,0.280126475,0.048297668,0.169041839,0.028978601,0.024148834
Somerset,0.333662786,0.018515146,South West,non_metropolitan_county,0.237011699,0.188161959,0.065132986,0.108554976,0.110364226,0.085034732
South Gloucestershire,0.45412631,0.018479402,South West,unitary_authority,0.110501439,0.288729566,0.064162126,0.149711627,0.096243189,0.039210188
South Tyneside,0.160322945,0.034230041,North East,metropolitan_borough,0.102440867,0.300920047,0.108843421,0.224089397,0.032012771,0.064025542
Southampton,0.549308851,0.003165299,South East,unitary_authority,0.116761974,0.151358115,0.108112939,0.285418159,0.108112939,0.056218728
Southend on Sea,0.182615466,0.016052652,East of England,unitary_authority,0.147421819,0.232472869,0.01701021,0.170102099,0.05103063,0.0567007
Southwark,0.348063407,0.081390133,London,london_borough,0.087502142,0.207817587,0.076564374,0.233339045,0.116669523,0.083856219
St Helens,0.308340308,0.018161174,North West,metropolitan_borough,0.189415806,0.211063326,0.081178202,0.216475206,0.037883161,0.01623564
Staffordshire,0.489057658,0.021764378,West Midlands,non_metropolitan_county,0.178054585,0.194958501,0.039442471,0.111565847,0.067615665,0.040569399
Stockport,0.518860892,0.047421554,North West,metropolitan_borough,0.144688745,0.154783309,0.067297091,0.218715545,0.097580782,0.057202527
Stockton on Tees,0.283194035,0.034349855,North East,unitary_authority,0.196349906,0.201384519,0.080553807,0.191315293,0.090623033,0.045311517
Stoke on Trent,0.474643727,0.002636665,West Midlands,unitary_authority,0.149736385,0.224604578,0.027583018,0.240366302,0.09851078,0.047285174
Suffolk,0.333579395,0.006158709,East of England,non_metropolitan_county,0.220092562,0.148924907,0.054034701,0.187144574,0.05667054,0.069849735
Sunderland,0.263655426,0.037020706,North East,metropolitan_borough,0.233976616,0.251180779,0.017204163,0.216772453,0.110106643,0.065375819
Surrey,0.155934766,0.001835461,South East,non_metropolitan_county,0.192823785,0.223640372,0.043143221,0.299361128,0.090688812,0.039621326
Sutton,0.194741014,0.060773638,London,london_borough,0.270905728,0.075251591,0.090301909,0.225754773,0.070234818,0.070234818
Swindon,0.325990411,0.017584195,South West,unitary_authority,0.226495222,0.122684912,0.089654359,0.132122213,0.084935708,0.051905155
Tameside,0.273866287,0.063477989,North West,metropolitan_borough,0.049164868,0.18325087,0.129616469,0.192189937,0.151964136,0.058103935
Telford and Wrekin,0.496729426,0.010939454,West Midlands,unitary_authority,0.081977132,0.023422038,0.052699585,0.286919963,0.152243246,0.046844076
Thurrock,0.173896607,0.013847351,East of England,unitary_authority,0.132174117,0.226584201,0.195114173,0.113292101,0.069234061,0.018882017
Torbay,0.454226792,-0.009635092,South West,unitary_authority,0.232033142,0.232033142,0.108765535,0.116016571,0.116016571,0.072510357
Tower Hamlets,0.260530864,0.073880823,London,london_borough,0.177199364,0.344554319,0.103366296,0.216577001,0.103366296,0.088599682
Trafford,0.366562478,0.037439585,North West,metropolitan_borough,0.097414098,0.128409493,0.057562876,0.177116543,0.146121148,0.057562876
Wakefield,0.53886411,0.044814391,Yorkshire and the Humber,metropolitan_borough,0.055617081,0.307357554,0.052689866,0.163924029,0.043908222,0.0790348
Walsall,0.459077706,0.04126494,West Midlands,metropolitan_borough,0.157270778,0.179738032,0.041189966,0.179738032,0.104847185,0.089869016
Waltham Forest,0.230379758,0.055161169,London,london_borough,0.168620211,0.138355045,0.051883142,0.237797734,0.112413474,0.069177522
Wandsworth,0.191076909,0.050161791,London,london_borough,0.168495078,0.117554705,0.066614333,0.231190921,0.125391686,0.074451313
Warrington,0.230783326,0.035310831,North West,unitary_authority,0.213320232,0.048481871,0.092115555,0.252105729,0.164838361,0.101811929
Warwickshire,0.48957376,0.01426316,West Midlands,non_metropolitan_county,0.150462717,0.263752292,0.093817929,0.113289575,0.084967181,0.072576134
West Berkshire,0.113572584,0.008266875,South East,unitary_authority,0.038276779,0.23604014,0.133968728,0.287075845,0.102071412,0.102071412
West Sussex,0.29355545,0.007827964,South East,non_metropolitan_county,0.206171478,0.26743386,0.074221732,0.081290469,0.11192166,0.083646714
Westminster,0.228992641,0.069369915,London,london_borough,0.067455237,0.3625719,0.101182856,0.151774284,0.071671189,0.088534999
Wigan,0.658073607,0.05466886,North West,metropolitan_borough,0.227403886,0.194051316,0.078833347,0.148570539,0.093993606,0.045480777
Wiltshire,0.298673799,-0.009819222,South West,unitary_authority,0.022402209,0.321777188,0.022402209,0.25457056,0.05906037,0.093681966
Windsor and Maidenhead,0.335236463,0.026427018,South East,unitary_authority,0.225018922,0.252293943,0.088643818,0.075006307,0.081825063,0.027275021
Wirral,0.849613317,0.048749752,North West,metropolitan_borough,0.214513996,0.146118229,0.093266955,0.127464838,0.043524579,0.024871188
Wokingham,0.088065868,0.027384036,South East,unitary_authority,0.121636004,0.249353809,0.079063403,0.115554204,0.060818002,0.036490801
Wolverhampton,0.623123391,0.052978825,West Midlands,metropolitan_borough,0.07143821,0.107157315,0.091282157,0.218283419,0.198439472,0.111126104
Worcestershire,0.505137184,0.022189316,West Midlands,non_metropolitan_county,0.213103537,0.186465595,0.094897669,0.126530225,0.111546382,0.049946141
York,0.624103406,0.070529609,Yorkshire and the Humber,unitary_authority,0.024542688,0.191432966,0.039268301,0.157073203,0.181615891,0.093262214
